1_153109_AG_H_BSA	1_153109_AG_H_IL13	2_153087_AG_A_BSA	2_153087_AG_A_IL13	3_156680_AA_H_BSA	3_156680_AA_H_IL13	4_154741_AA_A_BSA	4_154741_AA_A_IL13	5_153477_GG_A_BSA	5_153477_GG_A_IL13	6_153870_GG_H_BSA	6_153870_GG_H_IL13	7_156466_AA_A_BSA	7_156466_AA_A_IL13	8_152328_AG_A_BSA	8_152328_AG_A_IL13	9_153741_GG_H_BSA	9_153741_GG_H_IL13
CRIP2	1	1	2	0	2	0	2	1	2	2	2	2	2	1	1	1	1	1
BLVRA	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1
SUB1	1	1	2	2	1	2	2	2	0	2	1	2	0	2	0	2	0	1
PRKAG1	1	0	0	0	1	0	1	0	0	1	1	0	1	0	1	1	1	1
RAD23B	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2
CSE1L	2	0	2	2	2	2	2	2	1	2	1	1	2	2	1	1	2	2
ADAR	0	0	0	0	1	2	1	1	0	1	1	0	0	2	0	1	2	2
SEC61B	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2
RPS20	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
S100A10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
SPCS3	2	0	2	1	2	2	2	2	1	2	2	1	2	1	2	2	2	2
ACTR1A	1	2	2	1	1	2	1	1	2	1	0	2	1	1	1	1	2	2
RAP2B	0	0	2	0	0	0	1	0	0	0	1	0	2	0	0	2	1	2
RPL26	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
MAGOH	2	0	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2
DAD1	2	1	1	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2
TGFB2	2	0	2	1	2	1	2	2	1	2	2	1	2	1	2	2	1	1
SUMO2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2
NUTF2	1	1	0	0	1	2	1	1	0	1	0	0	1	2	0	1	0	0
RRAS2	2	0	1	1	2	2	2	1	2	1	2	1	2	1	2	1	2	2
RPS11	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
SNRPG	0	0	2	1	0	2	1	0	0	2	1	1	1	2	1	1	1	1
SNRPD1	1	1	2	1	2	2	2	2	2	2	1	1	1	2	1	1	1	2
SNRPD2	2	1	2	1	2	2	2	2	1	2	1	2	1	1	1	2	1	2
SNRPD3	2	0	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2
RAP1A	2	1	2	1	2	1	2	1	2	2	2	2	1	2	2	2	2	2
RPS15	1	1	0	0	0	2	0	2	0	0	0	1	0	0	0	1	0	1
RPS26	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2
RPL11	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
RPL8	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
DYNLT1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2
RPL38	2	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2
SEC11A	2	0	2	0	2	2	2	2	1	2	2	0	2	2	1	2	2	2
TUBB4B	1	1	1	1	2	1	1	1	1	1	2	1	2	1	2	1	2	1
PAFAH1B2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2
DCD	2	1	1	0	2	0	2	1	2	0	2	0	0	0	2	1	2	1
MRPS36	0	0	1	0	1	0	0	1	1	1	0	0	1	1	0	1	1	1
RPL19	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
H3-3A	1	0	1	1	0	0	1	1	0	1	1	1	0	1	0	0	0	0
FBLN2	1	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	1	0
PITPNA	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
PURA	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REEP5	0	1	2	1	1	1	1	1	2	2	1	1	2	1	0	1	0	0
IFITM2	1	0	2	1	2	2	1	1	1	2	1	0	2	2	2	1	1	1
PLCB3	1	1	1	1	2	1	2	2	0	1	2	1	1	1	0	1	1	2
RPL18A	1	0	1	2	1	1	1	2	1	2	1	0	1	1	0	2	0	0
CAV1	1	1	1	1	2	1	1	1	2	2	0	0	2	2	1	2	1	2
TAP1	1	0	2	0	1	1	1	1	1	2	2	0	1	1	1	1	2	2
TJP1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0
DDR1	1	0	2	0	2	0	1	0	1	2	1	1	2	1	2	1	2	2
CD47	1	1	2	1	2	1	2	1	1	2	2	2	2	2	2	1	1	2
PPID	1	0	2	2	2	1	2	2	1	2	1	1	2	2	2	2	2	0
BST1	1	0	2	0	1	0	1	0	2	0	2	0	2	0	0	0	1	0
PMPCA	0	1	1	1	0	0	0	1	0	1	0	1	1	0	0	1	1	2
IFT88	1	1	2	1	2	1	2	2	1	1	2	1	2	1	1	1	1	1
NME3	1	0	1	0	0	0	1	0	1	1	1	1	1	1	1	0	1	2
PLD1	0	1	1	1	0	0	1	1	0	1	1	1	0	0	0	0	1	1
MRPL49	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	1	1
CIRBP	2	1	2	1	2	1	2	2	1	2	2	2	1	1	2	2	1	2
EIF4A2	2	1	2	1	2	1	2	2	2	2	1	2	2	2	1	2	2	2
FGFBP1	1	2	2	0	1	2	1	1	1	1	2	0	2	1	1	2	1	1
DSC3	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2
CLINT1	2	1	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2
GOLGB1	0	1	1	1	2	1	2	1	2	1	2	1	1	1	1	1	2	1
GPNMB	0	1	1	2	0	1	1	0	0	2	2	2	1	0	1	2	0	2
GAPVD1	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
SPCS2	1	1	2	2	2	2	1	2	1	2	0	1	2	2	1	1	1	1
EMC2	2	0	2	1	2	1	2	2	0	2	1	1	1	1	1	2	1	2
EEA1	0	0	1	1	2	1	1	2	0	2	2	1	1	1	1	2	1	1
RNPS1	1	1	1	1	2	1	2	1	1	2	2	0	2	2	2	1	2	2
ELOC	1	0	2	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1
RHEB	0	0	0	0	0	1	2	0	0	0	2	1	1	2	1	1	1	1
SF3B3	2	1	2	1	2	1	1	1	2	2	2	2	2	2	1	2	1	1
CNN3	2	0	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	2
SEC23B	1	1	1	2	0	1	2	2	0	2	1	1	2	2	0	2	0	2
SKIV2L	1	1	1	1	2	1	1	1	1	1	2	0	2	1	2	2	2	1
TSN	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2
TRIP10	1	1	2	2	2	1	2	2	2	2	2	2	0	2	2	1	2	2
MAPRE1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1
SLC1A5	0	1	1	1	0	2	1	1	0	2	0	1	1	2	2	1	1	2
VAMP3	2	1	2	2	1	1	1	1	2	2	2	2	1	2	2	2	2	2
ATP6AP1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
CCDC6	1	0	1	1	0	2	1	2	0	2	0	2	1	2	2	2	1	2
DDB1	1	1	2	1	1	2	2	2	0	2	1	1	1	2	1	1	1	1
PRSS8	1	1	2	2	2	1	1	2	2	2	1	1	2	2	2	2	2	2
FSCN1	2	2	2	2	2	2	1	2	2	2	1	0	2	2	2	2	2	2
CLPP	2	1	2	2	2	2	2	2	1	2	1	2	2	2	1	2	0	2
H2BC21	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2
ATP6V1F	1	1	2	1	1	0	1	1	1	2	1	1	2	0	1	2	1	2
DUOXA2	0	0	0	2	0	2	0	1	1	2	1	1	0	2	0	2	2	2
INF2	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	1
TIMM50	1	0	1	1	0	1	1	2	0	2	0	0	2	1	0	2	2	2
ANO6	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
DNAL1	0	0	1	1	1	0	2	2	0	0	2	1	2	1	0	0	1	0
FAM98B	1	2	2	2	2	2	1	2	1	2	2	2	1	1	2	1	1	2
TP53I3	0	1	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	1
ACTBL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SLC27A3	0	1	1	0	0	1	0	2	0	1	1	1	0	2	0	1	0	2
H2BC18	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ODAD2	1	0	2	1	2	1	2	1	1	1	2	2	2	1	2	1	1	1
CFAP58	0	0	1	0	1	0	1	1	0	1	1	1	2	0	1	0	0	0
NT5DC1	1	1	2	1	1	2	1	2	1	1	1	1	1	2	0	2	0	1
BROX	2	0	2	1	1	2	2	2	2	2	2	2	2	1	2	2	2	2
LPCAT4	1	0	1	1	1	0	1	1	2	2	2	0	1	1	1	0	2	2
KRT80	0	0	2	1	1	2	1	2	1	2	2	2	1	1	1	1	1	1
SCYL2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1
CFAP161	1	0	1	0	0	0	0	0	0	1	1	1	2	1	1	1	0	0
CYB5D1	0	0	2	0	1	0	2	2	0	0	2	0	2	1	1	1	1	0
NCEH1	1	0	2	1	1	1	0	1	0	2	2	1	0	1	1	2	2	2
CSPG4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0
TMEM205	2	1	2	2	1	2	2	2	1	2	2	2	2	2	2	2	1	2
DTHD1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0
FAM83H	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	2	2
RIPOR1	0	0	2	1	0	0	1	1	0	1	2	2	1	1	0	0	1	1
CIBAR2	0	0	2	0	1	0	1	1	1	0	1	0	2	1	0	0	0	0
TMTC3	0	1	1	1	0	2	1	2	0	2	1	1	0	2	1	2	1	2
TUBA1A	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	0	0	1
H2AZ2	1	1	2	2	2	2	2	2	1	2	2	2	2	2	1	2	1	2
BZW1	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	1	1	1
MOB1B	2	1	2	2	2	2	2	2	1	2	2	2	2	2	1	1	1	2
ZC3HAV1	1	0	2	1	1	1	2	1	0	2	2	1	1	1	0	1	2	2
DGLUCY	0	2	0	1	0	1	1	1	0	0	0	0	1	1	0	1	2	2
NIT1	1	0	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	2
SLC44A2	1	0	2	1	1	1	2	2	2	2	1	2	2	1	1	1	1	1
FAM114A1	1	1	0	1	0	1	2	1	0	2	1	0	0	0	0	2	0	2
SULF2	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BAP18	1	0	1	0	1	0	1	1	1	2	0	0	1	2	2	2	1	1
IFT20	0	0	2	1	2	1	2	1	2	0	1	1	2	1	0	0	2	1
ELMOD2	2	1	2	2	2	2	2	2	1	2	0	1	2	2	1	2	1	2
ABI1	0	1	2	1	2	1	2	2	2	1	2	1	2	2	1	1	2	1
ARRDC1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1
MRPL43	1	0	2	1	0	1	1	1	0	2	0	0	2	2	0	1	1	2
IQUB	0	0	2	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0
GALNT6	2	1	2	2	2	1	1	1	2	2	1	1	2	2	1	2	1	1
BBS1	0	1	2	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0
B3GNT7	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	1
CMAS	1	0	2	2	1	1	1	1	1	2	1	1	2	1	2	2	2	2
ITFG1	2	0	2	2	2	2	1	2	2	2	1	2	2	1	2	2	2	2
PIP4K2C	2	0	2	2	1	2	1	2	2	2	1	1	2	2	2	2	2	2
SPATA18	1	0	2	2	2	1	2	2	1	1	2	2	2	2	2	1	2	2
TNFAIP8L1	0	0	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	1
CAPSL	0	0	1	0	2	0	2	1	1	0	2	1	2	0	2	1	1	0
TCP11	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0
ITLN2	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0
PALLD	1	1	2	1	2	2	2	1	0	2	1	1	1	2	1	2	0	0
PSPC1	1	0	1	1	0	1	1	1	0	0	1	1	0	1	0	0	1	0
SMPDL3B	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2
H1-10	2	0	2	0	2	1	2	2	1	2	2	1	2	0	2	2	2	2
NCSTN	1	0	0	0	2	1	1	1	1	2	2	1	2	1	2	2	2	2
ANP32B	2	2	1	2	0	2	1	2	1	1	2	2	1	2	2	1	2	1
USP9X	2	1	2	1	1	2	1	2	2	2	1	1	2	2	2	2	2	2
ST6GALNAC6	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0
FAM162A	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	2
PBXIP1	0	1	0	0	1	0	1	1	0	2	0	1	2	0	1	0	1	2
SYTL4	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2
AP2M1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RMDN1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1
MSI2	1	1	2	2	0	1	1	1	0	1	0	2	2	1	1	1	1	2
SPACA9	0	0	2	2	2	0	2	2	2	2	2	2	2	1	1	1	1	0
MVB12A	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
LRRC46	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0
REEP6	0	0	2	0	1	1	2	2	1	1	1	0	2	0	0	2	2	2
GMPPA	0	0	0	0	0	1	0	0	0	2	1	1	1	0	0	1	1	2
PRRC1	1	0	1	0	1	1	0	0	2	2	1	1	2	1	1	2	1	2
CFAP57	0	0	1	1	1	0	1	0	1	0	1	0	2	0	0	1	2	0
MYCBP	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1
TXNDC17	2	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2
PI4K2A	1	1	2	0	1	1	0	2	0	2	1	0	1	1	0	2	1	1
HNRNPUL1	1	1	2	1	1	0	0	0	0	2	2	0	1	0	1	2	1	1
APOO	1	0	2	1	2	1	2	2	0	2	2	1	2	2	2	2	2	2
DPCD	0	0	1	1	2	1	2	2	1	1	1	1	2	1	2	2	2	1
HINT2	1	1	1	1	1	2	2	1	1	1	0	1	1	1	1	1	1	2
TBC1D10A	0	0	1	0	1	0	1	0	2	2	2	1	1	1	0	0	1	2
ITPA	0	0	2	1	1	1	2	2	2	2	1	0	2	2	0	2	2	2
ULBP2	0	1	0	0	1	1	1	1	1	2	1	1	2	2	1	2	1	2
API5	0	0	0	0	0	1	1	1	2	2	0	1	1	2	1	2	0	2
DPY30	1	0	2	2	2	2	2	2	1	2	2	1	2	2	0	2	0	2
WDR61	0	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1
ZNF350	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
TMEM126A	1	1	2	1	2	1	0	1	1	2	0	0	2	1	2	2	2	2
KLC2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
NT5C3A	0	0	1	0	0	1	1	1	1	1	2	0	1	0	1	1	1	1
RAB1B	2	0	2	2	2	1	2	1	1	2	2	2	1	2	0	1	1	1
SH3BGRL3	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2
BOLA2	2	0	2	2	2	1	1	2	1	2	1	2	2	2	2	1	1	2
GOLPH3L	0	0	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	1
TMEM231	1	0	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1
PTGES2	1	0	2	1	1	2	1	2	0	2	1	1	1	2	1	2	2	2
UBE2Z	0	0	2	0	0	0	1	0	0	1	1	1	0	0	0	0	0	2
EFCAB1	1	0	2	0	2	0	2	0	2	0	2	1	2	0	1	0	2	0
SIAE	2	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1
GRPEL1	1	1	2	2	1	1	2	2	1	2	1	1	2	2	1	1	2	2
PLGRKT	2	0	1	0	1	0	1	1	0	1	1	0	1	0	2	2	2	2
TXNRD2	0	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0
VTA1	2	0	1	1	2	0	1	1	1	1	2	1	2	0	2	1	2	2
LUC7L	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
PDLIM7	1	0	1	0	1	2	2	1	2	2	1	1	1	1	2	2	1	1
DIABLO	1	0	0	1	0	2	2	1	0	1	1	2	0	1	1	2	1	2
SAR1A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
OSTC	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
HEBP1	1	1	2	1	0	2	2	2	1	2	2	2	2	2	1	1	2	1
TOMM22	0	1	1	2	1	2	1	2	1	1	2	0	2	2	1	2	2	1
ECHDC1	1	0	2	1	1	1	1	1	1	2	0	1	1	1	0	2	1	2
SPATA6	0	0	1	1	2	1	1	1	0	1	1	1	2	1	1	1	0	1
NDUFB11	1	0	2	1	0	1	1	1	0	2	1	1	1	1	0	0	1	1
FAT2	0	2	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	1
FAM120A	0	1	0	0	0	1	0	2	0	2	0	0	1	1	1	2	1	2
GLTP	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1
CHMP5	2	1	1	1	2	1	2	2	2	2	2	2	2	1	2	2	1	2
MACROH2A2	1	0	2	1	2	1	1	1	2	2	0	1	2	1	2	2	2	2
CCDC180	0	0	1	1	0	1	0	1	0	0	0	1	2	0	1	2	1	1
IFT80	0	0	1	1	1	1	2	1	0	1	2	1	2	1	0	1	2	1
DHCR7	2	1	2	2	2	1	2	2	1	2	1	2	2	2	2	2	2	2
CTSZ	2	2	2	1	2	1	2	1	1	2	2	1	2	2	1	2	1	2
UQCR10	2	0	1	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2
ADD3	1	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1
PUF60	0	1	1	1	1	2	1	2	2	1	0	2	1	1	2	1	2	0
ENOPH1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
CFAP45	1	0	1	0	0	0	2	0	0	0	2	0	1	1	0	1	0	0
COL17A1	0	2	0	2	0	1	0	1	1	2	0	1	0	2	1	2	1	2
DDX19B	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	0	0
CLCA2	1	1	1	0	1	0	0	0	0	0	0	2	2	2	0	2	1	2
CHMP2B	0	0	1	0	2	0	1	2	1	2	2	0	2	0	2	1	2	2
RTRAF	0	1	1	0	0	0	0	0	0	2	1	1	1	1	1	2	1	2
B3GNT3	1	0	1	1	1	0	0	2	2	2	2	1	2	2	1	1	1	2
DERA	1	2	2	2	2	2	2	2	0	2	1	2	1	2	1	2	1	2
STARD10	2	1	1	2	2	2	1	2	1	2	1	1	2	2	2	2	2	2
IFT52	0	0	1	1	1	0	1	1	0	2	1	2	2	0	1	2	1	2
SH3GLB1	1	2	2	0	1	1	2	2	1	1	2	2	2	1	2	1	1	2
TMED5	2	0	2	2	2	1	1	2	2	2	1	1	2	2	2	2	2	2
REXO2	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PPIL1	0	1	0	1	0	0	1	0	1	1	1	0	0	1	0	1	0	0
UFC1	0	0	1	1	2	0	2	2	1	1	2	1	2	1	1	1	1	1
FIS1	2	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2
MRPS23	1	0	2	2	1	1	1	1	2	2	1	1	2	2	1	2	2	2
DOP1B	0	0	0	0	0	1	1	1	0	2	0	1	0	0	0	0	0	2
PKP3	0	0	1	0	1	1	2	0	1	0	1	0	1	0	1	0	1	0
KIF3A	1	0	2	0	2	0	1	2	0	0	1	1	2	1	0	0	0	0
PPME1	0	2	2	2	1	1	0	1	1	0	0	2	1	2	1	1	0	1
ATP6V1D	1	0	2	1	1	0	1	1	0	2	0	0	1	1	2	2	1	2
SRPRB	1	0	1	1	1	2	2	2	1	2	2	2	1	2	0	2	2	2
RBM8A	1	1	2	2	1	2	2	2	2	2	1	2	1	2	2	2	2	2
ST14	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1
F11R	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NPTN	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NDUFB9	1	0	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2
UBE2L5	0	0	1	0	0	1	1	0	0	1	1	0	1	1	1	0	0	1
SHTN1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
CCDC78	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0	0	1	0
VPS37C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFCAB10	0	0	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	0
OTOL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANSC4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARHGAP42	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1
FAM166C	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
ANKRD36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFCAB7	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ACOT7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
LGALS9	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1
PSMD9	0	0	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0
ATOX1	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0
CACNB4	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1
WASL	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1
RTCA	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EXOC5	0	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1
LAD1	0	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0
RNASET2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
KPNA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
NCKAP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASTN1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COX7A2L	0	0	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1
TOR1B	1	0	1	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1
NRP1	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0
IRF6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TAX1BP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGS	0	0	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1
GAK	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1
SPTBN2	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	1	1
SCAMP1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
PLSCR1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RER1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	1
SURF4	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	1
MAPK13	1	0	0	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1
SPTLC2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1
CHAD	0	0	0	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0
HMGB3	0	0	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	0
GPR37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PPM1G	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	1
EIF3H	0	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	0
STX7	1	0	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1
ABCC5	1	0	1	0	0	1	1	0	1	1	1	0	1	1	0	0	0	1
P4HA2	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1
RGS16	1	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0
YKT6	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1
TTI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
NDUFS4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SPINT2	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	0
EMC8	0	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	1	1
PPIH	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1
DENR	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1
DNPH1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
TRAPPC3	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1
TSPAN6	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	1	1
ZNF207	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1
NDUFB3	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NDUFC1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	1	1	1
SIGLEC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP1G1	0	0	1	0	0	0	1	1	0	1	1	0	0	1	0	0	0	1
NUDT21	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1
LANCL1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
SCO2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AHCYL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KIF1C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NDUFS5	1	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	1	1
GMFG	1	0	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1
NPHS1	0	0	0	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0
RANBP6	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1
PLOD3	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1
SELENOF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TSPAN3	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	1
EXOC3	1	0	1	1	1	1	0	1	0	1	0	0	0	1	0	1	1	0
PDE8A	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1
SRPX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PFKFB2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PRAF2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
